temperature,humidity,wind_speed,precipitation,cloud_cover,atmospheric_pressure,season,visibility,location,weather
-9.0,49.0,1.5,,partly cloudy,1132.2,Spring,16.5,mountain,Snowy
,64.0,11.5,37.0,partly cloudy,1017.27,Autumn,8.0,coastal,Cloudy
32.0,37.0,0.5,,partly cloudy,1013.99,Winter,8.5,inland,Sunny
36.0,22.0,1.0,0.0,clear,1028.63,Summer,5.5,mountain,Sunny
28.0,54.0,15.0,39.0,partly cloudy,1018.86,Winter,8.5,mountain,Cloudy
42.0,64.0,2.0,,partly cloudy,1028.55,Autumn,8.0,mountain,Sunny
21.0,43.0,10.0,11.0,clear,1019.41,Spring,6.0,mountain,Sunny
22.0,50.0,0.0,18.0,clear,1016.5,Summer,8.0,coastal,Sunny
33.0,66.0,9.0,18.0,partly cloudy,1014.34,Autumn,6.0,mountain,Cloudy
,25.0,2.5,14.0,partly cloudy,1010.34,Winter,5.0,mountain,Sunny
26.0,91.0,9.5,82.0,overcast,1019.42,Summer,4.0,mountain,Rainy
,98.0,18.5,,overcast,981.26,Winter,3.5,mountain,Snowy
,90.0,11.0,,overcast,1017.49,Winter,4.0,inland,Rainy
25.0,55.0,8.5,37.0,partly cloudy,1014.49,Summer,7.5,inland,Cloudy
-4.0,0.0,20.0,88.0,partly cloudy,990.72,Winter,4.5,mountain,Snowy
-1.0,87.0,14.0,,overcast,984.11,Winter,4.0,inland,Snowy
-5.0,94.0,5.5,,overcast,991.65,Winter,3.0,inland,Snowy
22.0,95.0,13.0,90.0,overcast,997.97,Autumn,2.5,coastal,Rainy
,85.0,9.0,101.0,overcast,1017.89,Summer,7.5,mountain,Cloudy
,41.0,0.0,,clear,1018.56,Winter,9.5,coastal,Sunny
31.0,70.0,0.5,69.0,overcast,1074.07,Spring,12.5,inland,Sunny
16.0,84.0,18.5,,overcast,996.12,Spring,3.0,coastal,Rainy
10.0,64.0,14.0,,overcast,1011.96,Spring,8.5,coastal,Cloudy
29.0,63.0,6.0,68.0,overcast,992.45,Winter,3.0,mountain,Rainy
15.0,55.0,1.5,32.0,partly cloudy,1009.01,Autumn,5.5,inland,Cloudy
3.0,75.0,46.5,87.0,overcast,996.85,Winter,4.5,inland,Snowy
24.0,52.0,9.0,29.0,partly cloudy,1007.84,Autumn,8.0,mountain,Cloudy
,85.0,9.0,,overcast,995.4,Winter,2.0,mountain,Rainy
25.0,89.0,1.5,87.0,partly cloudy,1017.16,Summer,6.5,mountain,Sunny
24.0,47.0,8.0,17.0,clear,1025.22,Summer,6.0,mountain,Sunny
2.0,97.0,2.0,89.0,partly cloudy,993.14,Winter,3.0,inland,Snowy
,54.0,3.0,17.0,clear,1026.15,Summer,8.0,mountain,Sunny
2.0,81.0,13.5,57.0,overcast,983.36,Winter,4.0,inland,Snowy
21.0,75.0,3.5,41.0,partly cloudy,1017.74,Winter,8.0,mountain,Cloudy
11.0,52.0,6.0,,overcast,1063.39,Summer,12.5,inland,Snowy
,0.0,6.5,84.0,overcast,1013.61,Spring,4.5,inland,Rainy
33.0,31.0,6.5,18.0,clear,1022.53,Summer,8.5,coastal,Sunny
,,,,,,Spring,,,Sunny
21.0,66.0,13.5,,partly cloudy,1018.98,Autumn,8.5,mountain,Cloudy
28.0,68.0,18.0,,overcast,992.83,Winter,5.0,mountain,Rainy
,62.0,10.0,83.0,partly cloudy,1009.48,Summer,3.5,inland,Rainy
25.0,96.0,6.0,90.0,overcast,1006.67,Autumn,4.5,mountain,Rainy
27.0,73.0,9.5,,partly cloudy,1017.82,Summer,7.0,coastal,Cloudy
,75.0,11.5,82.0,partly cloudy,1029.09,Summer,7.0,coastal,Sunny
-5.0,73.0,12.0,,partly cloudy,983.83,Winter,4.5,inland,Snowy
31.0,62.0,5.5,99.0,overcast,1019.92,Summer,4.5,mountain,Rainy
,91.0,6.5,92.0,overcast,999.46,Winter,2.5,inland,Snowy
32.0,35.0,2.5,63.0,partly cloudy,1160.48,Winter,0.0,coastal,Sunny
-7.0,78.0,10.0,96.0,overcast,999.99,Winter,1.0,inland,Snowy
27.0,43.0,1.0,8.0,clear,1022.48,Summer,9.0,mountain,Sunny
12.0,56.0,9.5,19.0,partly cloudy,1014.4,Winter,6.5,mountain,Cloudy
-7.0,93.0,9.0,60.0,overcast,995.63,Winter,4.0,inland,Snowy
,81.0,28.5,71.0,partly cloudy,1008.0,Winter,6.0,inland,Cloudy
30.0,64.0,6.0,,partly cloudy,1009.12,Summer,4.0,coastal,Rainy
19.0,93.0,14.5,57.0,overcast,1018.44,Winter,4.0,inland,Rainy
14.0,44.0,9.0,11.0,partly cloudy,853.01,Winter,3.5,coastal,Rainy
,38.0,11.0,15.0,partly cloudy,824.71,Autumn,12.5,inland,Snowy
17.0,88.0,18.0,83.0,partly cloudy,1026.94,Spring,5.5,mountain,Sunny
23.0,88.0,11.5,65.0,overcast,1000.74,Winter,5.0,mountain,Rainy
28.0,35.0,9.5,0.0,partly cloudy,1023.62,Winter,10.0,coastal,Sunny
-4.0,87.0,5.0,54.0,overcast,981.02,Winter,4.5,mountain,Snowy
31.0,72.0,17.0,96.0,partly cloudy,1013.85,Winter,3.5,inland,Cloudy
40.0,0.0,8.0,5.0,clear,1019.82,Autumn,5.5,mountain,Sunny
20.0,24.0,3.0,6.0,clear,1013.68,Winter,6.5,mountain,Sunny
-7.0,61.0,2.5,,overcast,994.34,Winter,2.5,inland,Snowy
-3.0,0.0,0.0,65.0,overcast,991.66,Winter,1.5,inland,Snowy
,65.0,6.0,14.0,partly cloudy,1010.17,Autumn,7.0,coastal,Sunny
33.0,79.0,4.5,43.0,overcast,1007.94,Spring,7.0,coastal,Cloudy
,47.0,8.5,2.0,clear,1027.33,Summer,5.5,inland,Sunny
13.0,80.0,15.5,,overcast,1012.06,Autumn,3.5,mountain,Rainy
27.0,39.0,5.0,16.0,clear,1021.61,Autumn,5.0,mountain,Sunny
38.0,75.0,0.5,79.0,overcast,1057.69,Summer,10.0,inland,Rainy
20.0,48.0,9.5,6.0,clear,1015.16,Autumn,8.5,mountain,Sunny
,82.0,7.0,85.0,partly cloudy,1008.5,Summer,3.5,coastal,Rainy
18.0,70.0,5.0,,overcast,1012.87,Spring,3.5,mountain,Rainy
,60.0,12.5,42.0,overcast,822.66,Summer,17.5,mountain,Rainy
2.0,80.0,13.5,79.0,overcast,995.74,Winter,1.5,inland,Snowy
1.0,81.0,9.5,63.0,overcast,983.99,Winter,3.5,mountain,Snowy
22.0,69.0,1.0,,partly cloudy,1011.5,Autumn,6.0,mountain,Cloudy
,70.0,2.5,56.0,overcast,989.29,Winter,4.0,mountain,Snowy
32.0,61.0,5.5,53.0,overcast,995.09,Summer,4.0,inland,Rainy
41.0,29.0,8.0,,clear,1011.53,Spring,10.0,inland,Sunny
,99.0,2.5,72.0,overcast,998.51,Winter,2.0,mountain,Snowy
31.0,65.0,1.5,18.0,overcast,1008.47,Summer,9.0,inland,Cloudy
19.0,62.0,1.0,,partly cloudy,1016.5,Autumn,5.5,coastal,Cloudy
,92.0,28.0,99.0,partly cloudy,987.7,Winter,4.5,mountain,Snowy
-1.0,83.0,18.0,,overcast,983.46,Winter,1.5,inland,Snowy
3.0,70.0,2.0,,overcast,984.9,Winter,2.0,mountain,Snowy
0.0,64.0,4.5,52.0,overcast,984.59,Winter,1.0,inland,Snowy
26.0,76.0,9.0,,overcast,1004.27,Spring,3.5,inland,Rainy
22.0,92.0,19.5,81.0,overcast,1017.76,Winter,4.5,coastal,Rainy
20.0,96.0,14.0,94.0,overcast,997.77,Summer,4.5,mountain,Rainy
23.0,52.0,1.0,36.0,partly cloudy,1017.92,Spring,8.5,mountain,Cloudy
3.0,81.0,2.5,89.0,overcast,992.78,Winter,2.0,mountain,Snowy
20.0,95.0,16.0,91.0,overcast,1016.14,Summer,2.5,mountain,Rainy
-2.0,0.0,2.5,83.0,overcast,982.21,Winter,4.0,mountain,Snowy
29.0,77.0,0.5,91.0,cloudy,934.49,Autumn,17.0,inland,Sunny
2.0,0.0,6.5,,partly cloudy,998.0,Winter,3.0,mountain,Snowy
16.0,67.0,6.5,45.0,partly cloudy,1008.69,Summer,5.5,coastal,Cloudy
46.0,94.0,4.0,,clear,1022.88,Spring,12.5,mountain,Sunny
-2.0,92.0,1.0,71.0,overcast,998.01,Winter,1.5,inland,Snowy
,50.0,6.5,,partly cloudy,1013.93,Autumn,6.0,inland,Cloudy
0.0,64.0,10.5,78.0,overcast,994.62,Winter,3.0,mountain,Snowy
,48.0,6.0,15.0,clear,1020.0,Spring,9.5,inland,Sunny
29.0,50.0,5.5,13.0,overcast,1002.04,Autumn,8.0,inland,Cloudy
4.0,77.0,13.0,76.0,overcast,983.25,Winter,2.5,mountain,Snowy
40.0,39.0,9.5,15.0,clear,1029.84,Autumn,8.0,coastal,Sunny
-3.0,0.0,8.0,94.0,overcast,981.56,Winter,3.0,inland,Snowy
33.0,25.0,4.0,3.0,partly cloudy,1027.6,Spring,6.5,coastal,Sunny
31.0,87.0,11.0,,partly cloudy,995.87,Spring,3.5,mountain,Rainy
41.0,72.0,2.5,26.0,cloudy,973.08,Spring,8.5,inland,Rainy
33.0,77.0,1.0,22.0,partly cloudy,1018.78,Winter,8.5,mountain,Cloudy
-5.0,68.0,0.5,,overcast,992.19,Winter,1.5,mountain,Snowy
-9.0,90.0,1.5,97.0,overcast,999.08,Winter,4.5,mountain,Snowy
1.0,89.0,7.5,76.0,partly cloudy,982.22,Winter,4.5,inland,Snowy
13.0,62.0,14.0,13.0,overcast,1003.74,Autumn,9.0,inland,Cloudy
13.0,75.0,9.5,40.0,overcast,1005.39,Autumn,8.0,inland,Cloudy
15.0,105.0,7.5,75.0,overcast,1006.45,Summer,4.0,inland,Cloudy
31.0,86.0,13.5,78.0,overcast,999.25,Winter,4.0,inland,Rainy
26.0,60.0,11.5,50.0,partly cloudy,995.67,Summer,3.5,inland,Rainy
44.0,25.0,1.0,,partly cloudy,1016.02,Summer,5.5,coastal,Sunny
28.0,0.0,12.5,50.0,partly cloudy,997.24,Summer,5.0,coastal,Rainy
18.0,88.0,15.5,,overcast,997.61,Winter,3.5,inland,Rainy
30.0,77.0,12.0,51.0,partly cloudy,1007.88,Spring,3.5,inland,Rainy
,50.0,3.5,,overcast,1017.18,Summer,6.5,mountain,Cloudy
36.0,32.0,6.0,2.0,clear,1026.15,Spring,7.5,coastal,Sunny
3.0,75.0,10.5,73.0,overcast,980.47,Winter,3.0,mountain,Snowy
,49.0,9.0,14.0,clear,1010.52,Autumn,7.0,coastal,Sunny
26.0,43.0,7.0,18.0,partly cloudy,1024.37,Summer,6.0,mountain,Sunny
16.0,59.0,11.5,37.0,partly cloudy,1004.12,Summer,6.5,mountain,Cloudy
,,,79.0,,,,,,Rainy
34.0,51.0,9.0,40.0,overcast,1009.21,Spring,6.0,coastal,Cloudy
33.0,88.0,19.0,,overcast,998.8,Autumn,3.0,mountain,Rainy
17.0,72.0,20.0,56.0,overcast,990.4,Summer,4.0,mountain,Rainy
30.0,58.0,1.0,43.0,overcast,1018.95,Winter,6.0,inland,Cloudy
17.0,69.0,2.0,35.0,overcast,1009.83,Spring,8.5,coastal,Cloudy
-5.0,94.0,9.0,63.0,overcast,989.82,Winter,5.0,mountain,Snowy
17.0,64.0,19.5,95.0,overcast,1016.54,Spring,5.0,coastal,Rainy
-13.0,60.0,9.5,18.0,partly cloudy,931.79,Winter,5.5,coastal,Cloudy
34.0,88.0,19.5,73.0,overcast,1018.01,Spring,4.0,inland,Rainy
,90.0,21.5,103.0,overcast,1002.15,Winter,4.0,coastal,Rainy
13.0,77.0,5.0,68.0,cloudy,1021.09,Autumn,8.5,inland,Cloudy
23.0,35.0,3.5,12.0,clear,1028.43,Spring,8.0,inland,Sunny
,96.0,19.0,57.0,overcast,1003.05,Spring,4.5,inland,Rainy
-7.0,70.0,8.5,,overcast,993.19,Winter,2.0,mountain,Snowy
,90.0,9.5,87.0,overcast,997.83,Winter,2.5,mountain,Snowy
39.0,54.0,0.0,3.0,clear,1024.65,Autumn,9.5,inland,Sunny
21.0,64.0,19.0,96.0,partly cloudy,1006.43,Winter,4.5,coastal,Rainy
38.0,69.0,6.5,19.0,clear,1011.2,Spring,8.0,coastal,Sunny
-6.0,81.0,19.5,66.0,overcast,995.18,Winter,1.5,inland,Snowy
10.0,80.0,16.5,99.0,overcast,1005.34,Spring,3.5,coastal,Rainy
23.0,73.0,14.5,32.0,partly cloudy,1002.91,Autumn,7.5,mountain,Cloudy
38.0,21.0,0.0,14.0,cloudy,960.81,Autumn,6.0,mountain,Snowy
15.0,97.0,12.5,62.0,overcast,1013.38,Winter,3.0,coastal,Rainy
20.0,0.0,2.0,7.0,clear,1029.67,Spring,9.0,inland,Sunny
,0.0,18.0,54.0,partly cloudy,998.36,Autumn,3.0,coastal,Rainy
23.0,60.0,19.5,62.0,partly cloudy,1014.54,Winter,4.5,coastal,Rainy
26.0,68.0,4.0,,partly cloudy,1016.39,Summer,5.5,mountain,Cloudy
10.0,99.0,16.0,58.0,overcast,995.85,Autumn,1.5,mountain,Rainy
,42.0,4.0,13.0,partly cloudy,1028.3,Autumn,8.0,mountain,Sunny
,32.0,1.5,17.0,overcast,930.32,Winter,11.0,coastal,Rainy
-1.0,94.0,13.0,,overcast,981.13,Winter,4.0,inland,Snowy
,65.0,13.5,48.0,partly cloudy,1013.19,Summer,5.5,mountain,Cloudy
-10.0,94.0,7.5,98.0,partly cloudy,989.37,Winter,4.0,mountain,Snowy
41.0,0.0,4.0,,clear,1025.59,Spring,6.5,coastal,Sunny
34.0,78.0,14.5,,overcast,1014.07,Summer,6.0,mountain,Cloudy
33.0,30.0,9.5,7.0,partly cloudy,1019.11,Spring,5.0,coastal,Sunny
,56.0,8.5,,partly cloudy,1013.53,Winter,7.5,coastal,Cloudy
49.0,64.0,4.0,61.0,cloudy,1130.72,Winter,0.0,coastal,Cloudy
28.0,0.0,4.5,68.0,partly cloudy,1175.6,Autumn,0.0,coastal,Snowy
34.0,99.0,34.0,74.0,partly cloudy,1016.03,Autumn,1.0,inland,Rainy
,97.0,4.5,,overcast,987.68,Winter,2.0,mountain,Snowy
78.0,81.0,8.0,,overcast,1010.19,Autumn,4.5,inland,Cloudy
25.0,0.0,9.5,91.0,overcast,834.02,Winter,3.5,inland,Snowy
31.0,100.0,15.0,90.0,clear,1019.98,Summer,5.0,coastal,Sunny
,97.0,9.0,,overcast,1015.74,Spring,2.0,mountain,Rainy
34.0,97.0,17.5,,overcast,1016.2,Summer,2.5,coastal,Rainy
10.0,0.0,17.0,69.0,overcast,1012.7,Summer,1.5,coastal,Rainy
28.0,76.0,0.5,16.0,partly cloudy,1018.62,Summer,7.5,inland,Cloudy
18.0,74.0,0.5,39.0,overcast,1007.53,Autumn,8.5,mountain,Cloudy
,63.0,3.0,46.0,partly cloudy,1006.96,Summer,8.5,inland,Cloudy
-7.0,82.0,7.5,57.0,overcast,985.06,Winter,2.5,mountain,Snowy
22.0,61.0,8.5,,partly cloudy,1009.6,Spring,6.5,inland,Cloudy
,86.0,13.0,75.0,clear,1027.31,Summer,2.5,coastal,Sunny
,78.0,15.0,60.0,overcast,991.36,Autumn,4.0,inland,Rainy
27.0,83.0,16.0,53.0,overcast,1003.68,Summer,2.5,coastal,Rainy
-9.0,67.0,13.0,92.0,overcast,981.36,Winter,2.0,mountain,Snowy
-10.0,92.0,17.0,,overcast,982.06,Winter,4.5,mountain,Snowy
10.0,68.0,8.0,,overcast,1014.01,Spring,1.5,coastal,Rainy
35.0,33.0,7.0,5.0,partly cloudy,1025.51,Winter,7.5,coastal,Sunny
73.0,82.0,47.0,,overcast,1002.73,Winter,0.5,mountain,Rainy
22.0,89.0,12.0,85.0,partly cloudy,1017.54,Winter,2.0,coastal,Cloudy
2.0,0.0,11.5,64.0,partly cloudy,999.36,Winter,2.5,mountain,Snowy
30.0,71.0,12.0,92.0,partly cloudy,992.51,Spring,3.0,mountain,Rainy
30.0,55.0,5.0,,partly cloudy,1004.15,Autumn,6.5,mountain,Cloudy
,68.0,11.5,,overcast,1012.85,Winter,6.5,coastal,Cloudy
19.0,91.0,18.5,97.0,overcast,1011.14,Autumn,4.0,inland,Rainy
,71.0,4.0,,overcast,1001.54,Summer,6.5,coastal,Cloudy
27.0,79.0,14.0,,partly cloudy,1008.79,Summer,7.5,inland,Cloudy
8.0,78.0,34.5,106.0,partly cloudy,982.66,Winter,3.5,inland,Snowy
-3.0,76.0,10.0,85.0,overcast,986.77,Winter,3.5,mountain,Snowy
29.0,107.0,0.5,93.0,partly cloudy,1002.18,Spring,10.0,coastal,Cloudy
27.0,54.0,7.0,11.0,partly cloudy,1015.78,Summer,6.0,coastal,Cloudy
,95.0,35.5,87.0,overcast,998.45,Winter,4.0,coastal,Rainy
24.0,27.0,2.0,12.0,partly cloudy,1015.66,Spring,6.0,inland,Sunny
,69.0,8.0,5.0,clear,1026.28,Autumn,9.5,inland,Sunny
28.0,47.0,11.5,,partly cloudy,1105.69,Autumn,1.5,inland,Sunny
32.0,59.0,0.5,18.0,partly cloudy,1016.89,Spring,7.0,inland,Cloudy
-10.0,72.0,2.5,,overcast,988.45,Winter,2.0,mountain,Snowy
28.0,108.0,7.5,83.0,partly cloudy,1018.84,Summer,4.0,inland,Sunny
27.0,26.0,9.0,14.0,partly cloudy,1018.24,Winter,7.0,inland,Sunny
,71.0,9.5,83.0,overcast,996.4,Winter,3.5,inland,Snowy
,86.0,9.5,52.0,overcast,1005.41,Autumn,3.0,coastal,Rainy
-4.0,64.0,1.0,,overcast,993.69,Winter,1.5,inland,Snowy
25.0,51.0,5.0,18.0,clear,1019.65,Autumn,7.0,coastal,Sunny
12.0,92.0,20.0,51.0,overcast,1010.65,Spring,2.0,mountain,Rainy
-12.0,22.0,6.5,71.0,partly cloudy,1097.74,Spring,9.0,coastal,Snowy
14.0,65.0,6.5,,partly cloudy,1019.03,Autumn,6.5,coastal,Cloudy
,71.0,11.0,66.0,overcast,984.83,Winter,3.0,mountain,Snowy
43.0,24.0,7.0,1.0,clear,1020.87,Summer,7.0,inland,Sunny
-10.0,84.0,5.0,75.0,overcast,990.82,Winter,4.5,mountain,Snowy
1.0,52.0,13.5,18.0,overcast,829.86,Spring,6.5,coastal,Cloudy
25.0,86.0,11.0,75.0,overcast,1006.57,Autumn,4.0,coastal,Rainy
30.0,96.0,4.5,,partly cloudy,1001.66,Summer,5.5,mountain,Cloudy
44.0,94.0,9.0,109.0,clear,1024.46,Spring,6.5,coastal,Sunny
12.0,89.0,17.5,75.0,overcast,997.65,Autumn,2.0,inland,Rainy
20.0,48.0,3.0,,clear,1019.81,Autumn,9.5,inland,Sunny
32.0,71.0,19.0,92.0,overcast,1003.24,Summer,2.5,mountain,Rainy
13.0,79.0,11.0,63.0,overcast,990.71,Spring,4.5,coastal,Rainy
,84.0,23.5,80.0,overcast,984.68,Winter,1.5,mountain,Snowy
22.0,46.0,5.0,1.0,clear,1014.95,Summer,7.0,mountain,Sunny
25.0,57.0,3.5,0.0,partly cloudy,1016.85,Summer,8.5,inland,Sunny
-4.0,69.0,14.5,,overcast,994.53,Winter,3.0,mountain,Snowy
-10.0,72.0,4.5,72.0,overcast,1193.57,Summer,13.0,mountain,Rainy
0.0,73.0,4.0,90.0,partly cloudy,993.09,Winter,3.0,inland,Snowy
41.0,33.0,3.5,5.0,partly cloudy,1021.88,Spring,8.0,coastal,Sunny
35.0,50.0,7.0,3.0,clear,1011.22,Autumn,7.5,coastal,Sunny
14.0,95.0,42.5,106.0,partly cloudy,997.34,Summer,4.0,mountain,Rainy
23.0,63.0,5.0,2.0,clear,1028.61,Winter,9.0,coastal,Sunny
34.0,31.0,9.5,,clear,1024.74,Spring,5.5,inland,Sunny
28.0,97.0,12.0,,partly cloudy,1014.95,Winter,2.5,inland,Rainy
33.0,63.0,8.5,93.0,overcast,990.33,Summer,3.0,coastal,Rainy
-2.0,52.0,13.5,88.0,cloudy,841.43,Summer,1.5,mountain,Sunny
12.0,88.0,9.5,76.0,partly cloudy,990.58,Spring,5.0,mountain,Rainy
11.0,66.0,13.5,39.0,partly cloudy,1005.33,Summer,7.5,coastal,Cloudy
19.0,72.0,11.0,25.0,overcast,1009.68,Spring,7.5,mountain,Cloudy
,87.0,18.0,58.0,overcast,1001.57,Summer,1.5,inland,Rainy
15.0,98.0,6.0,,partly cloudy,1014.45,Autumn,3.5,coastal,Rainy
,76.0,0.0,12.0,partly cloudy,1006.38,Spring,5.5,inland,Cloudy
34.0,24.0,4.0,,clear,1020.55,Summer,8.0,coastal,Sunny
-7.0,89.0,1.0,,overcast,993.79,Winter,4.0,mountain,Snowy
-8.0,98.0,14.5,94.0,overcast,989.03,Winter,4.0,inland,Snowy
,70.0,16.5,59.0,overcast,990.8,Winter,1.5,mountain,Snowy
21.0,72.0,19.0,57.0,overcast,990.71,Winter,2.0,coastal,Rainy
,105.0,10.5,,overcast,990.79,Winter,3.0,mountain,Snowy
21.0,46.0,7.5,18.0,clear,1012.01,Summer,6.0,coastal,Sunny
,72.0,9.5,,overcast,991.7,Winter,1.5,mountain,Snowy
31.0,0.0,19.0,51.0,overcast,1013.15,Spring,2.5,mountain,Rainy
,,,,,,Summer,,,Rainy
26.0,68.0,15.0,53.0,partly cloudy,1014.58,Winter,2.5,inland,Rainy
60.0,86.0,12.0,86.0,overcast,1003.36,Autumn,2.0,inland,Cloudy
,72.0,11.0,23.0,overcast,1015.73,Winter,5.5,inland,Cloudy
48.0,79.0,12.0,88.0,partly cloudy,1140.24,Autumn,17.0,mountain,Snowy
32.0,58.0,6.5,4.0,clear,1023.83,Summer,9.0,mountain,Sunny
-10.0,63.0,17.5,70.0,partly cloudy,993.68,Winter,3.5,mountain,Snowy
,67.0,10.0,27.0,partly cloudy,1002.53,Summer,6.5,inland,Cloudy
35.0,58.0,3.0,19.0,clear,1015.4,Winter,5.0,mountain,Sunny
11.0,76.0,6.0,71.0,partly cloudy,974.29,Summer,9.0,coastal,Rainy
26.0,27.0,5.5,14.0,partly cloudy,1027.6,Spring,7.5,coastal,Sunny
43.0,50.0,8.0,,partly cloudy,1017.68,Summer,5.5,coastal,Sunny
33.0,58.0,8.0,41.0,overcast,1017.0,Winter,8.0,coastal,Cloudy
5.0,71.0,9.5,93.0,overcast,985.82,Winter,6.0,mountain,Snowy
23.0,62.0,10.0,20.0,overcast,1003.85,Winter,9.0,mountain,Cloudy
-6.0,94.0,2.5,93.0,overcast,989.21,Winter,1.5,inland,Snowy
8.0,87.0,10.0,,overcast,998.66,Winter,0.5,mountain,Snowy
-6.0,106.0,33.0,82.0,overcast,995.73,Winter,1.5,mountain,Snowy
31.0,62.0,6.0,,partly cloudy,1015.8,Autumn,5.5,inland,Cloudy
32.0,27.0,8.0,18.0,partly cloudy,1010.28,Spring,5.5,inland,Sunny
51.0,85.0,13.5,77.0,clear,1025.39,Autumn,5.0,mountain,Sunny
20.0,86.0,14.0,64.0,overcast,1000.52,Autumn,2.0,coastal,Rainy
22.0,58.0,13.5,20.0,overcast,1003.77,Winter,7.5,mountain,Cloudy
,74.0,19.0,81.0,partly cloudy,1017.45,Summer,1.5,inland,Rainy
11.0,82.0,14.5,96.0,overcast,1014.44,Autumn,7.0,inland,Cloudy
19.0,79.0,11.0,53.0,overcast,1016.38,Spring,4.0,mountain,Rainy
,48.0,5.0,74.0,partly cloudy,1022.96,Spring,5.5,coastal,Rainy
14.0,80.0,13.0,78.0,clear,1011.38,Autumn,1.5,mountain,Sunny
27.0,73.0,12.5,26.0,partly cloudy,1008.72,Winter,6.0,mountain,Cloudy
21.0,25.0,1.0,14.0,clear,1016.38,Autumn,7.0,coastal,Sunny
-4.0,89.0,15.5,75.0,partly cloudy,994.04,Winter,2.5,mountain,Snowy
2.0,70.0,17.0,96.0,partly cloudy,992.06,Winter,4.5,inland,Snowy
-3.0,98.0,0.5,60.0,partly cloudy,991.41,Winter,2.0,mountain,Snowy
42.0,28.0,8.0,1.0,partly cloudy,1019.49,Spring,6.5,mountain,Sunny
18.0,91.0,18.0,91.0,partly cloudy,1000.55,Autumn,2.5,coastal,Rainy
,88.0,18.5,92.0,overcast,998.65,Winter,1.5,coastal,Rainy
,72.0,31.5,,partly cloudy,1001.25,Winter,1.0,inland,Rainy
29.0,63.0,11.5,52.0,overcast,1017.35,Summer,2.0,inland,Rainy
37.0,62.0,6.0,6.0,clear,1021.37,Summer,7.0,inland,Sunny
16.0,87.0,14.0,,overcast,1001.96,Summer,4.5,mountain,Rainy
28.0,52.0,13.5,,partly cloudy,1011.14,Spring,5.0,coastal,Cloudy
